start,stop,diff
21:03:43.438236,21:03:43.445558,7322
21:03:43.438236,21:03:43.445912,7676
21:03:43.438236,21:03:43.446213,7977
21:03:43.438236,21:03:43.446402,8166
21:03:43.438236,21:03:43.446555,8319
21:03:43.438236,21:03:43.446679,8443
21:03:43.438236,21:03:43.446738,8502
21:03:43.438236,21:03:43.446760,8524
21:03:43.438236,21:03:43.446956,8720
21:03:43.438236,21:03:43.447029,8793
21:03:43.438236,21:03:43.447080,8844
21:03:43.438236,21:03:43.447151,8915
21:03:43.438236,21:03:43.447164,8928
21:03:43.438236,21:03:43.447169,8933
21:03:43.438236,21:03:43.447322,9086
21:03:43.438236,21:03:43.447336,9100
21:03:43.438236,21:03:43.447420,9184
21:03:43.438236,21:03:43.447556,9320
21:03:43.438236,21:03:43.447620,9384
21:03:43.438236,21:03:43.447618,9382
21:03:43.438236,21:03:43.447688,9452
21:03:43.438236,21:03:43.447688,9452
21:03:43.438236,21:03:43.447723,9487
21:03:43.438236,21:03:43.447810,9574
21:03:43.438236,21:03:43.447810,9574
21:03:43.438236,21:03:43.447934,9698
21:03:43.438236,21:03:43.448027,9791
21:03:43.438236,21:03:43.448056,9820
21:03:43.438236,21:03:43.448075,9839
21:03:43.438236,21:03:43.448136,9900
21:03:43.438236,21:03:43.448139,9903
21:03:43.438236,21:03:43.448276,10040
21:03:43.438236,21:03:43.448280,10044
21:03:43.438236,21:03:43.448358,10122
21:03:43.438236,21:03:43.448520,10284
21:03:43.438236,21:03:43.448520,10284
21:03:43.438236,21:03:43.448562,10326
21:03:43.438236,21:03:43.448562,10326
21:03:43.438236,21:03:43.448688,10452
21:03:43.438236,21:03:43.448688,10452
21:03:43.438236,21:03:43.448760,10524
21:03:43.438236,21:03:43.448904,10668
21:03:43.438236,21:03:43.448936,10700
21:03:43.438236,21:03:43.448936,10700
21:03:43.438236,21:03:43.448973,10737
21:03:43.438236,21:03:43.448982,10746
21:03:43.438236,21:03:43.449124,10888
21:03:43.438236,21:03:43.449138,10902
21:03:43.438236,21:03:43.449286,11050
21:03:43.438236,21:03:43.449313,11077
21:03:43.438236,21:03:43.449334,11098
21:03:43.438236,21:03:43.449334,11098
21:03:43.438236,21:03:43.449406,11170
21:03:43.438236,21:03:43.449521,11285
21:03:43.438236,21:03:43.449522,11286
21:03:43.438236,21:03:43.449567,11331
21:03:43.438236,21:03:43.449652,11416
21:03:43.438236,21:03:43.449732,11496
21:03:43.438236,21:03:43.449732,11496
21:03:43.438236,21:03:43.449809,11573
21:03:43.438236,21:03:43.449822,11586
21:03:43.438236,21:03:43.449892,11656
21:03:43.438236,21:03:43.449906,11670
21:03:43.438236,21:03:43.450021,11785
21:03:43.438236,21:03:43.450052,11816
21:03:43.438236,21:03:43.450117,11881
21:03:43.438236,21:03:43.450117,11881
21:03:43.438236,21:03:43.450206,11970
21:03:43.438236,21:03:43.450269,12033
21:03:43.438236,21:03:43.450274,12038
21:03:43.438236,21:03:43.450279,12043
21:03:43.438236,21:03:43.450386,12150
21:03:43.438236,21:03:43.450506,12270
21:03:43.438236,21:03:43.450513,12277
21:03:43.438236,21:03:43.450513,12277
21:03:43.438236,21:03:43.450585,12349
21:03:43.438236,21:03:43.450645,12409
21:03:43.438236,21:03:43.450670,12434
21:03:43.438236,21:03:43.450676,12440
21:03:43.438236,21:03:43.450754,12518
21:03:43.438236,21:03:43.450908,12672
21:03:43.438236,21:03:43.450908,12672
21:03:43.438236,21:03:43.450938,12702
21:03:43.438236,21:03:43.450949,12713
21:03:43.438236,21:03:43.451080,12844
21:03:43.438236,21:03:43.451105,12869
21:03:43.438236,21:03:43.451120,12884
21:03:43.438236,21:03:43.451120,12884
21:03:43.438236,21:03:43.451296,13060
21:03:43.438236,21:03:43.451296,13060
21:03:43.438236,21:03:43.451329,13093
21:03:43.438236,21:03:43.451352,13116
21:03:43.438236,21:03:43.451481,13245
21:03:43.438236,21:03:43.451489,13253
21:03:43.438236,21:03:43.451503,13267
21:03:43.438236,21:03:43.451503,13267
21:03:43.438236,21:03:43.451686,13450
21:03:43.438236,21:03:43.451702,13466
21:03:43.438236,21:03:43.451730,13494
21:03:43.438236,21:03:43.451730,13494
21:03:43.438236,21:03:43.451881,13645
21:03:43.438236,21:03:43.451881,13645
21:03:43.438236,21:03:43.451890,13654
21:03:43.438236,21:03:43.451919,13683
21:03:43.438236,21:03:43.452126,13890
21:03:43.438236,21:03:43.452183,13947
21:03:43.438236,21:03:43.452190,13954
21:03:43.438236,21:03:43.452181,13945
21:03:43.438236,21:03:43.452295,14059
21:03:43.438236,21:03:43.452295,14059
21:03:43.438236,21:03:43.452322,14086
21:03:43.438236,21:03:43.452322,14086
21:03:43.438236,21:03:43.452550,14314
21:03:43.438236,21:03:43.452583,14347
21:03:43.438236,21:03:43.452593,14357
21:03:43.438236,21:03:43.452678,14442
21:03:43.438236,21:03:43.452678,14442
21:03:43.438236,21:03:43.452679,14443
21:03:43.438236,21:03:43.452715,14479
21:03:43.438236,21:03:43.452721,14485
21:03:43.438236,21:03:43.452987,14751
21:03:43.438236,21:03:43.452993,14757
21:03:43.438236,21:03:43.453004,14768
21:03:43.438236,21:03:43.453050,14814
21:03:43.438236,21:03:43.453050,14814
21:03:43.438236,21:03:43.453118,14882
21:03:43.438236,21:03:43.453134,14898
21:03:43.438236,21:03:43.453141,14905
21:03:43.438236,21:03:43.453394,15158
21:03:43.438236,21:03:43.453416,15180
21:03:43.438236,21:03:43.453418,15182
21:03:43.438236,21:03:43.453485,15249
21:03:43.438236,21:03:43.453542,15306
21:03:43.438236,21:03:43.453601,15365
21:03:43.438236,21:03:43.453711,15475
21:03:43.438236,21:03:43.453793,15557
21:03:43.438236,21:03:43.453838,15602
21:03:43.438236,21:03:43.453845,15609
21:03:43.438236,21:03:43.453913,15677
21:03:43.438236,21:03:43.453930,15694
21:03:43.438236,21:03:43.454051,15815
21:03:43.438236,21:03:43.454142,15906
21:03:43.438236,21:03:43.454189,15953
21:03:43.438236,21:03:43.454180,15944
21:03:43.438236,21:03:43.454227,15991
21:03:43.438236,21:03:43.454312,16076
21:03:43.438236,21:03:43.454321,16085
21:03:43.438236,21:03:43.454323,16087
21:03:43.438236,21:03:43.454502,16266
21:03:43.438236,21:03:43.454572,16336
21:03:43.438236,21:03:43.454656,16420
21:03:43.438236,21:03:43.454675,16439
21:03:43.438236,21:03:43.454676,16440
21:03:43.438236,21:03:43.454712,16476
21:03:43.438236,21:03:43.454756,16520
21:03:43.438236,21:03:43.454940,16704
21:03:43.438236,21:03:43.454990,16754
21:03:43.438236,21:03:43.455071,16835
21:03:43.438236,21:03:43.455076,16840
21:03:43.438236,21:03:43.455079,16843
21:03:43.438236,21:03:43.455126,16890
21:03:43.438236,21:03:43.455194,16958
21:03:43.438236,21:03:43.455320,17084
21:03:43.438236,21:03:43.455434,17198
21:03:43.438236,21:03:43.455442,17206
21:03:43.438236,21:03:43.455476,17240
21:03:43.438236,21:03:43.455485,17249
21:03:43.438236,21:03:43.455554,17318
21:03:43.438236,21:03:43.455666,17430
21:03:43.438236,21:03:43.455666,17430
21:03:43.438236,21:03:43.455842,17606
21:03:43.438236,21:03:43.455851,17615
21:03:43.438236,21:03:43.455888,17652
21:03:43.438236,21:03:43.455895,17659
21:03:43.438236,21:03:43.455984,17748
21:03:43.438236,21:03:43.456055,17819
21:03:43.438236,21:03:43.456055,17819
21:03:43.438236,21:03:43.456288,18052
21:03:43.438236,21:03:43.456288,18052
21:03:43.438236,21:03:43.456363,18127
21:03:43.438236,21:03:43.456367,18131
21:03:43.438236,21:03:43.456466,18230
21:03:43.438236,21:03:43.456489,18253
21:03:43.438236,21:03:43.456496,18260
21:03:43.438236,21:03:43.456636,18400
21:03:43.438236,21:03:43.456636,18400
21:03:43.438236,21:03:43.456707,18471
21:03:43.438236,21:03:43.456707,18471
21:03:43.438236,21:03:43.456829,18593
21:03:43.438236,21:03:43.456829,18593
21:03:43.438236,21:03:43.456836,18600
21:03:43.438236,21:03:43.457059,18823
21:03:43.438236,21:03:43.457144,18908
21:03:43.438236,21:03:43.457193,18957
21:03:43.438236,21:03:43.457193,18957
21:03:43.438236,21:03:43.457233,18997
21:03:43.438236,21:03:43.457310,19074
21:03:43.438236,21:03:43.457514,19278
21:03:43.438236,21:03:43.457576,19340
21:03:43.438236,21:03:43.457596,19360
21:03:43.438236,21:03:43.457654,19418
21:03:43.438236,21:03:43.457654,19418
21:03:43.438236,21:03:43.457676,19440
21:03:43.438236,21:03:43.457773,19537
21:03:43.438236,21:03:43.457955,19719
21:03:43.438236,21:03:43.457955,19719
21:03:43.438236,21:03:43.458061,19825
21:03:43.438236,21:03:43.458088,19852
21:03:43.438236,21:03:43.458158,19922
21:03:43.438236,21:03:43.458167,19931
21:03:43.438236,21:03:43.458246,20010
21:03:43.438236,21:03:43.458360,20124
21:03:43.438236,21:03:43.458360,20124
21:03:43.438236,21:03:43.458478,20242
21:03:43.438236,21:03:43.458502,20266
21:03:43.438236,21:03:43.458565,20329
21:03:43.438236,21:03:43.458618,20382
21:03:43.438236,21:03:43.458724,20488
21:03:43.438236,21:03:43.458827,20591
21:03:43.438236,21:03:43.458827,20591
21:03:43.438236,21:03:43.458859,20623
21:03:43.438236,21:03:43.458920,20684
21:03:43.438236,21:03:43.459092,20856
21:03:43.438236,21:03:43.459100,20864
21:03:43.438236,21:03:43.459102,20866
21:03:43.438236,21:03:43.459225,20989
21:03:43.438236,21:03:43.459225,20989
21:03:43.438236,21:03:43.459280,21044
21:03:43.438236,21:03:43.459464,21228
21:03:43.438236,21:03:43.459608,21372
21:03:43.438236,21:03:43.459629,21393
21:03:43.438236,21:03:43.459641,21405
21:03:43.438236,21:03:43.459641,21405
21:03:43.438236,21:03:43.459670,21434
21:03:43.438236,21:03:43.459670,21434
21:03:43.438236,21:03:43.459888,21652
21:03:43.438236,21:03:43.460071,21835
21:03:43.438236,21:03:43.460071,21835
21:03:43.438236,21:03:43.460075,21839
21:03:43.438236,21:03:43.460132,21896
21:03:43.438236,21:03:43.460137,21901
21:03:43.438236,21:03:43.460137,21901
21:03:43.438236,21:03:43.460500,22264
21:03:43.438236,21:03:43.460500,22264
21:03:43.438236,21:03:43.460573,22337
21:03:43.438236,21:03:43.460576,22340
21:03:43.438236,21:03:43.460657,22421
21:03:43.438236,21:03:43.460742,22506
21:03:43.438236,21:03:43.460791,22555
21:03:43.438236,21:03:43.460889,22653
21:03:43.438236,21:03:43.460889,22653
21:03:43.438236,21:03:43.460997,22761
21:03:43.438236,21:03:43.461027,22791
21:03:43.438236,21:03:43.461100,22864
21:03:43.438236,21:03:43.461268,23032
21:03:43.438236,21:03:43.461335,23099
21:03:43.438236,21:03:43.461336,23100
21:03:43.438236,21:03:43.461386,23150
21:03:43.438236,21:03:43.461424,23188
21:03:43.438236,21:03:43.461551,23315
21:03:43.438236,21:03:43.461551,23315
21:03:43.438236,21:03:43.461739,23503
21:03:43.438236,21:03:43.461739,23503
21:03:43.438236,21:03:43.461747,23511
21:03:43.438236,21:03:43.461898,23662
21:03:43.438236,21:03:43.461945,23709
21:03:43.438236,21:03:43.462020,23784
21:03:43.438236,21:03:43.462059,23823
21:03:43.438236,21:03:43.462119,23883
21:03:43.438236,21:03:43.462162,23926
21:03:43.438236,21:03:43.462200,23964
21:03:43.438236,21:03:43.462371,24135
21:03:43.438236,21:03:43.462387,24151
21:03:43.438236,21:03:43.462570,24334
21:03:43.438236,21:03:43.462608,24372
21:03:43.438236,21:03:43.462639,24403
21:03:43.438236,21:03:43.462691,24455
21:03:43.438236,21:03:43.462715,24479
21:03:43.438236,21:03:43.462843,24607
21:03:43.438236,21:03:43.462959,24723
21:03:43.438236,21:03:43.463049,24813
21:03:43.438236,21:03:43.463052,24816
21:03:43.438236,21:03:43.463116,24880
21:03:43.438236,21:03:43.463120,24884
21:03:43.438236,21:03:43.463198,24962
21:03:43.438236,21:03:43.463306,25070
21:03:43.438236,21:03:43.463449,25213
21:03:43.438236,21:03:43.463481,25245
21:03:43.438236,21:03:43.463515,25279
21:03:43.438236,21:03:43.463535,25299
21:03:43.438236,21:03:43.463546,25310
21:03:43.438236,21:03:43.463684,25448
21:03:43.438236,21:03:43.463760,25524
21:03:43.438236,21:03:43.463907,25671
21:03:43.438236,21:03:43.463939,25703
21:03:43.438236,21:03:43.463939,25703
21:03:43.438236,21:03:43.463955,25719
21:03:43.438236,21:03:43.463959,25723
21:03:43.438236,21:03:43.464199,25963
21:03:43.438236,21:03:43.464199,25963
21:03:43.438236,21:03:43.464353,26117
21:03:43.438236,21:03:43.464408,26172
21:03:43.438236,21:03:43.464422,26186
21:03:43.438236,21:03:43.464443,26207
21:03:43.438236,21:03:43.464443,26207
21:03:43.438236,21:03:43.464675,26439
21:03:43.438236,21:03:43.464677,26441
21:03:43.438236,21:03:43.464771,26535
21:03:43.438236,21:03:43.464819,26583
21:03:43.438236,21:03:43.464819,26583
21:03:43.438236,21:03:43.464938,26702
