start,stop,diff
18:08:49.796984,18:08:49.800687,3703
18:08:49.796984,18:08:49.800695,3711
18:08:49.796984,18:08:49.800824,3840
18:08:49.796984,18:08:49.800850,3866
18:08:49.796984,18:08:49.800946,3962
18:08:49.796984,18:08:49.800981,3997
18:08:49.796984,18:08:49.801035,4051
18:08:49.796984,18:08:49.801054,4070
18:08:49.796984,18:08:49.801118,4134
18:08:49.796984,18:08:49.801126,4142
18:08:49.796984,18:08:49.801134,4150
18:08:49.796984,18:08:49.801222,4238
18:08:49.796984,18:08:49.801248,4264
18:08:49.796984,18:08:49.801302,4318
18:08:49.796984,18:08:49.801302,4318
18:08:49.796984,18:08:49.801335,4351
18:08:49.796984,18:08:49.801335,4351
18:08:49.796984,18:08:49.801336,4352
18:08:49.796984,18:08:49.801362,4378
18:08:49.796984,18:08:49.801457,4473
18:08:49.796984,18:08:49.801463,4479
18:08:49.796984,18:08:49.801568,4584
18:08:49.796984,18:08:49.801568,4584
18:08:49.796984,18:08:49.801573,4589
18:08:49.796984,18:08:49.801573,4589
18:08:49.796984,18:08:49.801587,4603
18:08:49.796984,18:08:49.801587,4603
18:08:49.796984,18:08:49.801669,4685
18:08:49.796984,18:08:49.801677,4693
18:08:49.796984,18:08:49.801784,4800
18:08:49.796984,18:08:49.801784,4800
18:08:49.796984,18:08:49.801798,4814
18:08:49.796984,18:08:49.801803,4819
18:08:49.796984,18:08:49.801797,4813
18:08:49.796984,18:08:49.801809,4825
18:08:49.796984,18:08:49.801874,4890
18:08:49.796984,18:08:49.801885,4901
18:08:49.796984,18:08:49.801997,5013
18:08:49.796984,18:08:49.801997,5013
18:08:49.796984,18:08:49.802000,5016
18:08:49.796984,18:08:49.802012,5028
18:08:49.796984,18:08:49.802040,5056
18:08:49.796984,18:08:49.802050,5066
18:08:49.796984,18:08:49.802067,5083
18:08:49.796984,18:08:49.802099,5115
18:08:49.796984,18:08:49.802202,5218
18:08:49.796984,18:08:49.802202,5218
18:08:49.796984,18:08:49.802217,5233
18:08:49.796984,18:08:49.802240,5256
18:08:49.796984,18:08:49.802257,5273
18:08:49.796984,18:08:49.802263,5279
18:08:49.796984,18:08:49.802284,5300
18:08:49.796984,18:08:49.802325,5341
18:08:49.796984,18:08:49.802409,5425
18:08:49.796984,18:08:49.802475,5491
18:08:49.796984,18:08:49.802703,5719
18:08:49.796984,18:08:49.802902,5918
18:08:49.796984,18:08:49.803109,6125
18:08:49.796984,18:08:49.803338,6354
18:08:49.796984,18:08:49.803593,6609
18:08:49.796984,18:08:49.803842,6858
18:08:49.796984,18:08:49.804132,7148
18:08:49.796984,18:08:49.804405,7421
18:08:49.796984,18:08:49.804672,7688
18:08:49.796984,18:08:49.804925,7941
18:08:49.796984,18:08:49.805135,8151
18:08:49.796984,18:08:49.805344,8360
18:08:49.796984,18:08:49.805547,8563
18:08:49.796984,18:08:49.805754,8770
18:08:49.796984,18:08:49.805959,8975
18:08:49.796984,18:08:49.806188,9204
18:08:49.796984,18:08:49.806405,9421
18:08:49.796984,18:08:49.806661,9677
18:08:49.796984,18:08:49.806918,9934
18:08:49.796984,18:08:49.807164,10180
18:08:49.796984,18:08:49.807431,10447
18:08:49.796984,18:08:49.807646,10662
18:08:49.796984,18:08:49.807863,10879
